                                                                                                                                                        CODIGO
           MARCA                              MODELO                         INDUSTRIA                          Nº DE SERIE                         APROBACION                   Vigente desde                          TIPO
            ANCA                         CVDV Versión 2                        argentina                           CJR0102                         DNCI Nº 625/08            18/11/15 al 17/11/16                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0102                         DNCI Nº 625/08            17/11/16 al 16/11/17                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0103                         DNCI Nº 625/08            21/10/15 al 20/10/16                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0103                         DNCI Nº 625/08            07/10/16 al 06/10/17                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0104                         DNCI Nº 625/08            09/03/16 al 08/03/17                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0104                         DNCI Nº 625/08            06/03/17 al 05/03/18                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0105                         DNCI Nº 625/08            09/03/16 al 08/03/17                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0105                         DNCI Nº 625/08            06/03/17 al 05/03/18                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0106                         DNCI Nº 625/08            06/05/15 al 05/05/16                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0106                         DNCI Nº 625/08            06/05/16 al 05/05/17                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0107                         DNCI Nº 625/08            06/05/15 al 05/05/16                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0107                         DNCI Nº 625/08            06/05/16 al 05/05/17                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0108                         DNCI Nº 625/08            07/08/15 al 06/08/16                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0108                         DNCI Nº 625/08            26/09/16 al 25/09/17                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0109                         DNCI Nº 625/08            03/06/15 al 02/06/16                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0109                         DNCI Nº 625/08            09/06/16 al 10/02/17                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0110                         DNCI Nº 625/08            03/06/15 al 02/06/16                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0110                         DNCI Nº 625/08            24/09/16 al 23/09/17                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0111                         DNCI Nº 625/08            03/06/15 al 02/06/16                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0111                         DNCI Nº 625/08            16/06/16 al 15/06/17                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0112                         DNCI Nº 625/08            03/06/15 al 02/06/16                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0112                         DNCI Nº 625/08            16/06/16 al 15/06/17                       FIJO
